,text,date
0,FLORIDA TOO,2020-06-25T21:04:36Z
1,Shake Shack Appoints Tristan Walker to Board,2020-06-25T20:49:10Z
2,"Pausing Texas Reopening May Not Be Enough, Baylor's Hotez Warns",2020-06-25T20:48:08Z
3,"Covid-19 Pandemic Rages in Parts of U.S., Global Cases Top 9 Million",2020-06-25T20:38:08Z
4,Nike Declines After Pandemic Hits Sales Harder Than Expected,2020-06-25T20:32:32Z
5,"Canada Downgrade Signals Limits to Fiscal Policy, Wiseman Says",2020-06-25T20:30:44Z
6,Trump Cleared to Carry Out Quick Deportations in Supreme Court Win - Bloomberg,2020-06-25T20:21:18Z
7,'Best of Bloomberg Daybreak: Middle East' Full Show (6/25/2020),2020-06-25T20:20:05Z
8,Senate May Rein In Microsoft's Billion-Dollar Army Program,2020-06-25T20:15:11Z
9,Lobbyist Jack Abramoff Charged in Crypto-Currency Case...,2020-06-25T20:00:17Z
10,JPMorgan Sees Restaurant Spending as Predictor of Virus's Spread,2020-06-25T19:47:56Z
12,Florida's Governor Doesn't Plan to Move to Next Phase of Opening,2020-06-25T19:39:30Z
14,'Balance of Power' Full Show (06/25/2020),2020-06-25T19:36:58Z
15,Trump Ignores Virus Spike as U.S. Cases Surge Toward Records,2020-06-25T19:34:35Z
16,'Bloomberg Surveillance Simulcast' Full Show (06/25/2020),2020-06-25T19:07:15Z
17,"Jack Abramoff Charged in Crypto-Currency Case, U.S. Says",2020-06-25T19:06:31Z
18,Mexico's Finance Minister Herrera Tests Positive for Covid-19,2020-06-25T19:01:13Z
19,Aviation's Turnaround Man Signs Up for a Repeat Job at Qantas,2020-06-25T19:00:00Z
20,Top-Performing Australian Fund Bets on Domestic Economy Revival,2020-06-25T19:00:00Z
21,Labor Secretary's 'Double Talk' Is Shocking: Ritholtz (Podcast),2020-06-25T18:54:51Z
22,US Health Officials Estimate 20 Million Americans Have Had Virus,2020-06-25T18:48:37Z
23,Bloomberg Equality: The Corporate Diversity Pledge Merry-Go-Round,2020-06-25T18:39:33Z
24,Retail Real Estate Pain Is Industrials' Gain: Woloshin (Radio),2020-06-25T18:38:35Z
25,Trump's Visa Ban Puts U.S. 'Innovation Machine' At Risk (Radio),2020-06-25T18:31:15Z
26,Canopy Re-Engineers Acreage Deal in Tough Times for Cannabis M&A,2020-06-25T18:29:51Z
27,How Stanford is Fighting COVID-19 (Podcast),2020-06-25T18:27:17Z
28,Shocked By The Labor Secretary's Double Talk: Ritholtz (Radio),2020-06-25T18:25:48Z
29,Enbridge Told to Shut Pipeline in Victory for Michigan Officials,2020-06-25T18:24:23Z
30,The Art of Protocol at the White House,2020-06-25T18:22:05Z
31,"Fed Is Right to Strike Cautious Tone, Says State Street Global's Mocuta",2020-06-25T18:21:03Z
32,"Corporate Bonds Are Seller's Market, Says Johcm's Topcuoglu",2020-06-25T18:20:20Z
33,TCS Transitioned 90% of its 450K Staff to Work Remotely (Radio),2020-06-25T18:15:48Z
34,Pence Hails Lordstown Motors as Savior. It Just Needs Cash.,2020-06-25T18:15:03Z
35,Three Engineers in China Secrets Case Are on U.S. Wanted List,2020-06-25T18:14:50Z
36,Irvin on Breaking the Silence at Work (Podcast),2020-06-25T18:07:22Z
37,Latin America Sees Worst Crisis Of Century: Bill Rhodes (Radio),2020-06-25T18:05:36Z
38,"Accenture to Curb Hiring, Stall Some Promotions to Cut Costs",2020-06-25T18:02:00Z
39,Big Drop In U.S. Exports Will Push 2Q GDP Lower: McKee (Radio),2020-06-25T18:00:29Z
40,Nascar Releases Photo of the Noose Found in Bubba Wallace's Garage,2020-06-25T17:55:53Z
41,LeBron James Gets $100 Million Investment To Build Media Empire,2020-06-25T17:55:39Z
42,"Pregnant Women Are at Higher Risk of Severe Covid-19, CDC Says",2020-06-25T17:52:31Z
43,"Squeezed on All Sides, Trudeau Won’t Bend on China Prisoner Swap - Bloomberg",2020-06-25T17:44:50Z
44,"New Jersey Counts Almost 2,000 More 'Probable' Coronavirus Deaths",2020-06-25T17:40:56Z
45,Britain's Post-Brexit Border Plan Has a Truck-Sized Hole In It,2020-06-25T17:35:13Z
46,Abigail Disney Says There Is Such a Thing as Too Much Money,2020-06-25T17:30:58Z
47,Disneyland’s July Reopening Delayed Indefinitely in California,2020-06-25T17:29:00Z
48,Trump Administration Targets ESG Funds With 401(k) Rule,2020-06-25T17:28:38Z
49,Investors flock to ESG equity funds as assets near $100 billion,2020-06-25T17:27:42Z
50,Abigail Disney Says the U.S. Needs a Wealth Tax,2020-06-25T17:19:40Z
51,Big Short on Malls Is the Only Distressed Game in Town: Brian Chappatta,2020-06-25T17:18:00Z
52,States and Cities Seen Needing $500 Billion to Avert Fiscal Doom,2020-06-25T17:15:22Z
53,Murphy Furlough Plan Cuts Worker Hours Just as State Reopening,2020-06-25T17:13:45Z
54,(Podcast),2020-06-25T17:12:22Z
55,Sternlicht Says Virus Plus Unrest Equals NYC Property Plunge,2020-06-25T17:10:08Z
56,"Risky Assets Look Better Due to Fed Action, Says State Street's Engel",2020-06-25T17:04:08Z
57,"Covid-Linked Stocks Rally on Trump's 'Surprise' Hint, Day Trades",2020-06-25T16:59:42Z
58,South Africa Begins Virus Vaccine Trial,2020-06-25T16:58:57Z
59,"From Bolton to Mattis, Trump faces aides turned adversaries...",2020-06-25T16:49:38Z
60,NYSE's Cunningham Says Reopening Trading Floor Dampens Volatility,2020-06-25T16:49:07Z
61,"Balance of Power: Economic Inequality, Trade (Podcast)",2020-06-25T16:42:05Z
62,Rite Aid Asks Bondholders for More Time Amid Tepid Turnaround,2020-06-25T16:34:50Z
63,Delta CEO Sees Little Room to Restore More Flights After August,2020-06-25T16:10:57Z
64,"Jobs Hit Is Four Times Worse for Low-Paid Workers, Fed Analysts Say",2020-06-25T16:03:35Z
65,"Citi Warns Pandemic Rallies in Netflix, Wayfair May Falter",2020-06-25T16:02:37Z
66,"Stay Home, Let The Robots 3D Print The Rockets",2020-06-25T16:00:09Z
67,Money Stuff: The Government Wants ESG Out of Pensions,2020-06-25T15:59:42Z
68,"Roundup Not Carcinogenic, Formula Won't Change After Settlement: Bayer CEO",2020-06-25T15:58:28Z
69,The Ghost of 2016 Is Still Haunting Markets: Brexit Bulletin,2020-06-25T15:54:15Z
70,Jeffrey Epstein Victims Fund Opens After Months of Wrangling,2020-06-25T15:51:55Z
71,Costco Re-Imagines Its Food Samples in Era of Social Distancing,2020-06-25T15:50:46Z
72,Fed Repeats Error of 2008 With Tight Money - Bloomberg,2020-06-25T15:50:00Z
73,Tech-Exposed Real Estate Is Pulling Away From Other Properties,2020-06-25T15:47:40Z
74,Texas Governor Halts New Phases of Reopening State's Economy,2020-06-25T15:46:53Z
75,Tesla Plans Battery Facility in California After Threat to Move - Bloomberg,2020-06-25T15:40:10Z
76,Wirecard Raced to Win Funds in Months Leading Up to Insolvency,2020-06-25T15:34:41Z
77,Second Quarter Earnings Will 'Surprise on the Upside': Morgan Stanley's Wilson,2020-06-25T15:30:40Z
78,Argentina Reached 'An Understanding' With One Creditor Group,2020-06-25T15:28:21Z
79,More Than $38 Billion in PPP Loans for Small Firms Canceled - Bloomberg,2020-06-25T15:23:34Z
80,'Bloomberg The Open' Full Show (6/25/2020),2020-06-25T15:22:40Z
81,EFG-Hermes Sees Covid-19 Pandemic Easing in Nigeria by September,2020-06-25T15:21:58Z
82,Indigo Was On Track to Be Profitable. The Pandemic Changed That,2020-06-25T15:20:59Z
83,Summer reading,2020-06-25T15:20:42Z
84,Rite Aid Withdraws 2021 Forecast Amid Pandemic Uncertainty,2020-06-25T15:11:57Z
85,Liquor Duties Would Pose New Threat to U.S. Bars Already Reeling,2020-06-25T15:03:00Z
86,Surveillance: Black Lives Matter With LeBron (Podcast),2020-06-25T14:50:44Z
87,Trudeau's Covid Aid Pays Off With Consumer-Spending Rebound,2020-06-25T14:49:16Z
88,New US Treasury issuance and Fed purchases impact on indices in June 2020,2020-06-25T14:45:15Z
89,Coronavirus in Texas: Covid-19 Gives Greg Abbott a Reality Check,2020-06-25T14:42:29Z
90,"Sudan Gets Aid From West, Smiles From Arabs at Donor Conference",2020-06-25T14:39:33Z
91,Blame Game Starts for Political Elite Seeking Wirecard Answers,2020-06-25T14:36:32Z
92,What to Expect From the Fed Stress Test Results,2020-06-25T14:31:43Z
93,"Pandemic Rages in U.S., Spurring Quarantines and Mask Orders - Bloomberg",2020-06-25T14:23:26Z
94,Tara Lachapelle on Why Masks Aren't Political (Podcast),2020-06-25T14:22:24Z
95,Texas Governor Suspends Elective Surgeries in Biggest Cities,2020-06-25T14:21:58Z
96,The Pandemic Has Pushed Us Closer to Living Virtual Lives,2020-06-25T14:20:55Z
97,"NYC on Track to Start Phase 3 of Reopening July 6, Mayor Says",2020-06-25T14:19:23Z
98,"Botched Testing, $1,200 for the Dead: Watchdog Audits Virus Plan",2020-06-25T14:18:11Z
99,Kenya Faces Wider Deficit After Third Spending Update,2020-06-25T14:13:48Z
